Parroquia,Casos_10_04_2020,Casos_11_04_2020,Casos_12_04_2020,Casos_13_04_2020,Casos_14_04_2020,Casos_15_04_2020,Casos_16_04_2020,Casos_17_04_2020,Casos_18_04_2020,Casos_19_04_2020,Casos_20_04_2020,Casos_21_04_2020,Casos_22_04_2020,Casos_23_04_2020,Casos_29_04_2020,Casos_30_04_2020,Casos_01_05_2020,Casos_02_05_2020,Casos_03_05_2020,Casos_04_05_2020,Casos_06_05_2020,Casos_07_05_2020,Casos_08_05_2020,Casos_09_05_2020,Casos_12_05_2020,Casos_13_05_2020,Casos_15_05_2020,Casos_16_05_2020,Casos_17_05_2020,Casos_18_05_2020,Casos_19_05_2020,Casos_23_05_2020,Casos_24_05_2020,Casos_25_05_2020,Casos_26_05_2020,Casos_27_05_2020,Casos_28_05_2020,Casos_31_05_2020,Casos_01_06_2020,Casos_02_06_2020,Casos_03_06_2020,Casos_05_06_2020,Casos_06_06_2020,Casos_07_06_2020,Casos_08_06_2020,Casos_10_06_2020,Casos_11_06_2020,Casos_12_06_2020,Casos_13_06_2020,Casos_14_06_2020,Casos_15_06_2020,Casos_16_06_2020,Casos_17_06_2020,Casos_18_06_2020,Casos_19_06_2020,Casos_20_06_2020,Casos_21_06_2020,Casos_22_06_2020,Casos_23_06_2020,Casos_24_06_2020,Casos_26_06_2020,Casos_27_06_2020,Casos_28_06_2020,Casos_29_06_2020,Casos_30_06_2020,Casos_01_07_2020,Casos_02_07_2020,Casos_05_07_2020,Casos_07_07_2020,Casos_09_07_2020,Casos_10_07_2020
KENNEDY,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,20,20,20,20,30,63,63,62,64,66,66,67,67,67,70,71,72,73,72,73,76,78,80,81,81,82,84,84,88,90,90,91,91,92,92,93,94,95,96,98,94,100,101,107,109,108,111,112,114,115,121,125,137,139,148,150
LA ARGELIA,6,6,6,6,6,7,7,7,8,8,8,8,13,13,26,27,30,31,31,31,33,34,35,35,36,36,38,38,38,41,44,58,61,66,68,71,73,80,80,83,89,95,96,99,102,103,104,105,105,105,108,108,108,110,114,114,125,127,132,133,137,138,138,139,143,165,167,182,187,194,195
LA ECUATORIANA,2,2,2,2,4,4,4,5,6,6,8,9,11,16,23,24,26,28,28,28,31,31,33,36,41,41,44,45,48,49,52,77,82,91,92,99,103,107,107,111,104,111,129,132,139,143,143,166,169,171,174,179,180,187,189,208,210,210,212,218,237,236,245,251,256,267,272,284,303,324,328
LA FERROVIARIA,10,11,11,12,12,12,13,14,14,16,16,16,16,17,28,30,30,30,33,32,38,42,44,45,52,52,54,54,56,59,64,77,78,80,83,86,87,90,91,95,93,101,102,104,109,116,116,108,109,109,110,112,115,116,121,123,122,124,125,130,139,140,142,144,150,164,171,186,188,192,197
LA LIBERTAD,4,4,4,4,4,6,6,6,8,8,8,9,9,10,19,23,28,29,33,32,38,39,43,47,57,57,65,64,68,72,75,85,86,89,87,89,92,92,91,88,85,88,91,91,93,99,99,106,106,107,108,114,114,115,115,118,117,119,120,120,126,126,125,125,126,129,129,132,133,136,137
LA MAGDALENA,12,14,15,16,16,18,21,22,22,24,26,26,26,27,47,48,51,60,62,66,79,80,82,89,105,105,109,110,115,123,143,175,178,184,192,200,208,215,218,230,229,244,248,253,250,260,265,265,269,271,276,288,292,298,305,328,315,321,322,332,339,344,348,350,354,386,408,430,438,451,456
LA MENA,1,1,1,1,1,2,2,3,3,3,4,5,4,5,9,10,11,11,11,11,14,15,15,16,21,21,21,21,22,24,25,31,31,32,32,32,37,38,45,46,51,53,53,54,53,56,56,58,58,60,62,60,60,62,62,62,62,63,63,67,71,72,72,73,73,79,84,93,95,95,96
MARISCAL SUCRE,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,9,9,9,10,10,13,13,11,11,11,11,12,12,13,13,13,15,15,14,13,14,16,16,17,14,17,19,19,20,20,21,22,21,24,24,25,27,27,28,30,30,30,31,31,33,32,34,33,34,35,35,39,41,44,46,46
NANEGAL,1,1,1,1,2,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,9,9,9,9
NANEGALITO,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NAYON,2,2,2,2,2,2,2,2,2,2,2,2,4,4,7,7,7,8,9,8,8,8,8,8,8,8,9,8,11,11,11,12,12,14,14,14,14,14,15,19,20,22,21,25,25,26,26,26,28,28,28,24,24,25,26,36,34,35,34,35,40,41,41,41,41,45,45,49,50,52,53
NONO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6
PIFO,3,3,3,3,3,3,4,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,9,9,10,10,10,11,13,15,15,16,16,16,16,16,16,19,19,19,19,20,19,19,19,19,19,20,21,24,24,24,24,24,23,24,24,26,25,25,25,25,25,28,28,30,30,32,32
POMASQUI,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,16,16,17,17,17,17,17,17,18,18,18,20,20,21,27,31,42,48,51,51,51,52,52,57,56,63,69,72,72,71,74,74,75,75,75,77,76,77,78,78,79,79,79,80,81,86,87,88,88,90,95,99,103,104,105,110
